"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Kevin Durant","BKN",4,176,347,105,25,62,0.4032258064516129,7,21,0.3333333333333333,0.3333333333333333,34,20,30,9,12,0.4,0.43478260869565216,0.42857142857142855,0.25301204819277107,0.45992891566265065,0.42771084337349397,0.5198019801980198,4,7,0.11290322580645161,0,0,31.362467866323907
"Jonas Valanciunas","NOP",6,175,334,87,32,62,0.5161290322580645,1,6,0.16666666666666666,0.16666666666666666,20,32,32,3,0,0.5,0.7272727272727273,1,0.08823529411764706,0.5020735294117646,0.49264705882352944,0.5506329113924051,20,5,0.08064516129032258,0,0,22.63681592039801
"De'Andre Hunter","ATL",5,175,337,106,27,44,0.6136363636363636,12,26,0.46153846153846156,0.46153846153846156,16,30,24,33,3,0.5555555555555556,0.5555555555555556,0.9166666666666666,0.37142857142857144,0.5095314285714286,0.6428571428571429,0.6708860759493671,0,1,0.022727272727272728,1,0.038461538461538464,24.390243902439025
"Mike Conley","UTA",6,174,331,55,14,32,0.4375,5,25,0.2,0.2,12,12,16,0,15,0.42857142857142855,0.42857142857142855,0,0.43859649122807015,0.47298684210526315,0.37719298245614036,0.4296875,0,0,0,0,0,20.157068062827225
"Klay Thompson","GSW",5,173,343,113,21,37,0.5675675675675675,22,48,0.4583333333333333,0.4583333333333333,5,32,10,63,3,0.7619047619047619,0.7619047619047619,0.9545454545454546,0.5647058823529412,0.49851411764705883,0.6352941176470588,0.6420454545454546,0,1,0.02702702702702703,1,0.020833333333333332,25
"Will Barton","DEN",5,172,344,69,16,38,0.42105263157894735,11,28,0.39285714285714285,0.4074074074074074,4,18,14,33,0,0.5625,0.6428571428571429,1,0.42424242424242425,0.46269923076923075,0.49242424242424243,0.5,4,6,0.15789473684210525,1,0.03571428571428571,19.65174129353234
"Jae Crowder","PHX",6,172,336,45,13,22,0.5909090909090909,3,26,0.11538461538461539,0.11538461538461539,10,18,8,6,3,0.6923076923076923,0.75,0.6666666666666666,0.5416666666666666,0.5056552083333333,0.3645833333333333,0.4326923076923077,2,2,0.09090909090909091,1,0.038461538461538464,16.201117318435752
"Nikola Jokic","DEN",5,171,346,155,56,88,0.6363636363636364,5,18,0.2777777777777778,0.2777777777777778,28,62,50,15,0,0.5535714285714286,0.5961538461538461,1,0.16981132075471697,0.4465193396226415,0.5990566037735849,0.6352459016393442,8,5,0.056818181818181816,0,0,36.5
"Kyrie Irving","BKN",4,170,333,85,20,42,0.47619047619047616,8,21,0.38095238095238093,0.38095238095238093,21,12,28,6,18,0.3,0.3157894736842105,0.25,0.3333333333333333,0.48125806451612907,0.5079365079365079,0.5821917808219178,2,2,0.047619047619047616,1,0.047619047619047616,21.92513368983957
"Jordan Clarkson","UTA",6,170,318,105,31,49,0.6326530612244898,9,24,0.375,0.391304347826087,16,8,54,24,3,0.12903225806451613,0.13793103448275862,0.8888888888888888,0.3287671232876712,0.472075,0.6095890410958904,0.6481481481481481,4,1,0.02040816326530612,1,0.041666666666666664,25
"Giannis Antetokounmpo","MIL",5,168,352,143,48,75,0.64,2,13,0.15384615384615385,0.15384615384615385,41,30,66,0,6,0.3125,0.35714285714285715,0,0.14772727272727273,0.558025,0.5795454545454546,0.6217391304347826,12,6,0.08,1,0.07692307692307693,34.0153452685422
"Cameron Johnson","PHX",6,167,325,66,13,22,0.5909090909090909,10,28,0.35714285714285715,0.35714285714285715,10,14,12,30,0,0.5384615384615384,0.6363636363636364,1,0.56,0.566614,0.56,0.5892857142857143,4,2,0.09090909090909091,0,0,17.366946778711487
"Jayson Tatum","BOS",4,167,326,118,23,48,0.4791666666666667,13,31,0.41935483870967744,0.41935483870967744,33,20,26,27,12,0.43478260869565216,0.43478260869565216,0.6923076923076923,0.3924050632911392,0.534626582278481,0.5379746835443038,0.6145833333333334,0,6,0.125,2,0.06451612903225806,30.606860158311346
"Precious Achiuwa","TOR",6,167,313,61,20,36,0.5555555555555556,5,16,0.3125,0.3125,6,26,14,15,0,0.65,0.6842105263157895,1,0.3076923076923077,0.5768980769230769,0.5288461538461539,0.5446428571428571,2,6,0.16666666666666666,0,0,18.78612716763006
"Draymond Green","GSW",5,164,329,48,14,23,0.6086956521739131,4,11,0.36363636363636365,0.36363636363636365,8,26,2,9,3,0.9285714285714286,0.9285714285714286,0.75,0.3235294117647059,0.4608926470588235,0.5882352941176471,0.6153846153846154,0,1,0.043478260869565216,0,0,12.912087912087912
"Jordan Poole","GSW",5,162,318,105,19,31,0.6129032258064516,15,31,0.4838709677419355,0.4838709677419355,22,12,26,18,27,0.3157894736842105,0.3157894736842105,0.4,0.5,0.4842975806451613,0.6693548387096774,0.7357142857142858,0,2,0.06451612903225806,2,0.06451612903225806,23.098591549295776
"Aaron Gordon","DEN",5,160,318,69,20,39,0.5128205128205128,3,15,0.2,0.2,20,26,14,9,0,0.65,0.8125,1,0.2777777777777778,0.5107703703703704,0.4537037037037037,0.5227272727272727,8,3,0.07692307692307693,1,0.06666666666666667,19.733333333333334
"Bam Adebayo","MIA",5,157,306,62,22,42,0.5238095238095238,0,0,0,0,18,32,12,0,0,0.7272727272727273,0.9411764705882353,0,0,0.4988714285714286,0.5238095238095238,0.5961538461538461,10,1,0.023809523809523808,0,0,18.857142857142858
