"Name","TeamAbbreviation","GamesPlayed","Minutes","FTA","Technical Free Throw Trips","TwoPtShootingFoulsDrawn","2pt And 1 Free Throw Trips","ThreePtShootingFoulsDrawn","3pt And 1 Free Throw Trips","NonShootingFoulsDrawn","ShootingFoulsDrawnPct","TwoPtShootingFoulsDrawnPct","ThreePtShootingFoulsDrawnPct"
"Charlie Brown Jr.","PHI",8,68,3,0,1,1,0,0,0,0.06666666666666667,0.16666666666666666,0
"Daishen Nix","HOU",8,67,3,0,2,1,0,0,0,0.09523809523809523,0.14285714285714285,0
"Chris Silva","MIA",7,66,9,0,5,1,0,0,0,0.29411764705882354,0.29411764705882354,0
"Joe Wieskamp","SAS",11,65,7,0,2,0,1,0,0,0.125,0.25,0.0625
"BJ Johnson","ORL",4,65,0,0,0,0,0,0,0,0,0,0
"Malcolm Hill","CHI",4,64,7,0,2,0,1,0,0,0.1875,0.2857142857142857,0.1111111111111111
"Isaac Bonga","TOR",12,63,6,0,3,0,0,0,0,0.1875,0.25,0
"Elijah Hughes","UTA",10,62,3,1,1,0,0,0,0,0.05,0.16666666666666666,0
"Tacko Fall","CLE",11,59,7,0,3,1,0,0,1,0.21428571428571427,0.21428571428571427,0
"Sam Merrill","MEM",6,58,4,1,2,1,0,0,0,0.08,1,0
"Devontae Cacok","SAS",7,58,0,0,0,0,0,0,0,0,0,0
"Rui Hachimura","WAS",4,56,9,0,5,1,0,0,0,0.19230769230769232,0.25,0
"Gabriel Deck","OKC",7,56,2,0,0,0,0,0,1,0,0,0
"James Ennis III","DEN",7,56,5,0,3,1,0,0,0,0.11538461538461539,0.16666666666666666,0
"Isaiah Jackson","IND",11,55,8,0,2,0,0,0,2,0.1,0.1,0
"Louis King","SAC",5,55,7,0,2,0,1,0,0,0.10344827586206896,0.16666666666666666,0.058823529411764705
"Brandon Knight","DAL",3,54,8,0,0,0,0,0,4,0,0,0
"Jalen Johnson","ATL",11,52,6,0,1,0,0,0,2,0.05555555555555555,0.08333333333333333,0
"Udonis Haslem","MIA",8,52,3,0,2,1,0,0,0,0.09523809523809523,0.10526315789473684,0
"Tremont Waters","WAS",3,50,0,0,0,0,0,0,0,0,0,0
"Georgios Kalaitzakis","MIL",9,48,9,0,3,1,0,0,2,0.23076923076923078,0.3333333333333333,0
"D.J. Wilson","TOR",3,48,10,0,1,0,0,0,4,0.08333333333333333,0.1,0
"Wenyen Gabriel","LAC",7,48,4,0,2,0,0,0,0,0.13333333333333333,0.2,0
"Jamorko Pickett","DET",6,47,0,0,0,0,0,0,0,0,0,0
"Cameron McGriff","POR",3,46,2,0,1,0,0,0,0,0.06666666666666667,0.1111111111111111,0
"Miye Oni","UTA",16,44,1,0,1,1,0,0,0,0.1111111111111111,1,0
"Cameron Oliver","ATL",2,43,3,0,2,1,0,0,0,0.125,0.15384615384615385,0
"RJ Nembhard Jr.","CLE",6,42,2,0,1,0,0,0,0,0.08333333333333333,0.09090909090909091,0
"Haywood Highsmith","MIA",4,42,0,0,0,0,0,0,0,0,0,0
"Reggie Perry","POR",2,41,2,0,1,0,0,0,0,0.1,0.125,0
"Udoka Azubuike","UTA",6,40,2,0,2,2,0,0,0,0.4,0.4,0
"Neemias Queta","SAC",6,40,4,0,2,0,0,0,0,0.11764705882352941,0.11764705882352941,0
"Myles Powell","PHI",7,39,2,0,0,0,0,0,1,0,0,0
"Bruno Fernando","BOS",14,38,3,0,1,1,0,0,1,0.16666666666666666,0.16666666666666666,0
"Petr Cornelie","DEN",13,38,4,0,0,0,0,0,2,0,0,0
"Darren Collison","LAL",3,37,0,0,0,0,0,0,0,0,0,0
"Sharife Cooper","ATL",10,35,0,0,0,0,0,0,0,0,0,0
"Malik Fitts","UTA",7,35,0,0,0,0,0,0,0,0,0,0
"Kai Jones","CHA",12,33,4,0,1,0,0,0,1,0.14285714285714285,0.16666666666666666,0
"Keljin Blevins","POR",5,33,2,0,0,0,0,0,1,0,0,0
