"Name","TeamAbbreviation","GamesPlayed","Minutes","Fouls","ShootingFouls","Loose Ball Fouls","Loose Ball Fouls Drawn","Offensive Fouls","Charge Fouls","Offensive Fouls Drawn","Charge Fouls Drawn","BlockingFouls","BlockingFoulsDrawn","Clear Path Fouls","Defensive 3 Seconds Violations","FoulsDrawn"
"Darius Miller","NOP",82,1944,160,93,7,4,3,1,5,0,5,0,0,0,45
"James Johnson","MIA",73,1943,192,97,8,7,8,11,1,1,2,1,0,0,125
"Kyrie Irving","BOS",60,1931,122,52,2,4,7,4,4,6,1,4,0,0,204
"Rondae Hollis-Jefferson","BKN",68,1921,145,70,8,9,9,11,17,0,3,5,0,0,265
"Joel Embiid","PHI",63,1912,209,99,18,14,24,17,7,1,0,2,0,1,410
"Aaron Gordon","ORL",58,1909,111,52,5,12,4,16,4,5,4,4,0,0,192
"Dirk Nowitzki","DAL",77,1900,146,102,2,16,5,0,3,0,2,4,0,1,119
"Stanley Johnson","DET",69,1894,169,75,5,4,5,8,4,2,1,2,0,0,108
"Jordan Clarkson","CLE",81,1887,107,31,9,5,5,5,10,0,5,4,0,0,154
"Tim Hardaway Jr.","NYK",57,1885,123,54,4,2,7,3,13,11,4,1,1,1,185
"Devin Booker","PHX",54,1865,168,55,2,4,19,11,9,4,4,18,1,1,290
"Caris LeVert","BKN",71,1864,159,64,4,7,2,7,12,5,4,3,0,0,183
"Michael Kidd-Gilchrist","CHA",74,1850,143,74,9,6,2,6,23,3,1,0,0,1,141
"Lance Stephenson","IND",82,1850,177,51,13,10,3,14,10,1,8,6,0,2,128
"Chris Paul","HOU",58,1847,141,56,10,6,8,4,2,5,1,7,0,0,210
"Evan Fournier","ORL",57,1837,138,65,4,0,6,4,5,2,3,1,0,0,136
"Myles Turner","IND",65,1836,186,98,5,16,26,8,7,3,8,7,0,0,188
"Frank Kaminsky","CHA",79,1835,95,61,2,12,8,2,3,3,0,3,0,1,145
"Enes Kanter","NYK",71,1830,187,109,18,30,19,7,1,1,0,1,0,1,176
"Jeff Green","CLE",78,1828,149,74,13,15,9,9,12,6,2,3,0,2,188
"Rudy Gobert","UTA",56,1816,153,74,30,35,20,6,6,1,2,3,0,3,280
"George Hill","CLE",67,1812,128,54,5,5,6,3,12,3,1,6,0,0,154
"Pau Gasol","SAS",77,1812,121,90,10,37,3,5,2,1,3,1,0,1,195
"Domantas Sabonis","IND",74,1810,220,107,33,30,27,13,4,4,2,12,0,0,216
"Elfrid Payton","PHX",63,1809,147,62,4,2,4,6,6,1,2,7,2,2,158
"Danny Green","SAS",70,1791,122,67,7,5,2,1,7,3,1,2,0,0,67
"Kent Bazemore","ATL",65,1789,147,66,2,6,4,6,15,1,5,12,0,0,177
"John Collins","ATL",74,1785,215,114,22,29,18,6,5,2,2,2,0,4,185
"Lonzo Ball","LAL",52,1780,117,50,8,2,3,4,10,0,2,0,0,0,68
"Kelly Olynyk","MIA",76,1779,222,117,21,20,17,7,13,16,10,1,0,0,216
"Doug McDermott","DAL",81,1768,122,51,12,4,4,2,1,0,2,1,0,1,72
"D.J. Augustin","ORL",75,1760,94,32,4,8,8,4,12,8,5,7,1,0,184
"Anthony Tolliver","DET",79,1757,144,64,13,8,4,0,6,17,4,0,0,1,118
"Dejounte Murray","SAS",81,1743,151,71,6,8,5,7,4,0,2,2,0,0,145
"DeMarcus Cousins","NOP",48,1737,183,62,15,20,18,30,6,26,4,11,0,2,375
"Brook Lopez","LAL",74,1735,195,97,20,4,22,3,4,0,1,1,0,4,159
"Reggie Bullock","DET",62,1732,70,37,0,1,2,1,1,2,1,3,0,0,55
"Ersan Ilyasova","PHI",69,1730,157,78,7,24,12,4,21,31,6,0,0,0,163
"Jonas Valanciunas","TOR",77,1727,192,95,29,19,18,11,2,6,5,3,0,3,180
"Ryan Anderson","HOU",66,1725,126,54,16,12,5,4,2,6,2,1,0,1,84
"T.J. McConnell","PHI",76,1706,122,58,2,2,3,1,12,1,0,0,0,0,49
"Frank Ntilikina","NYK",78,1706,181,78,6,3,1,6,7,1,0,0,0,0,72
"Rajon Rondo","NOP",65,1705,119,36,3,3,2,6,8,4,2,6,0,0,74
"Robin Lopez","CHI",64,1690,109,59,8,16,19,3,5,1,1,1,0,4,98
"Jerian Grant","CHI",74,1686,132,55,10,8,2,6,10,4,2,8,0,3,175
"Nikola Vucevic","ORL",57,1683,144,92,8,6,11,3,1,4,1,1,0,1,101
"Justise Winslow","MIA",68,1680,140,73,6,4,5,2,4,2,2,9,0,1,97
"Pascal Siakam","TOR",81,1679,166,72,10,6,3,7,1,0,5,3,0,1,82
"Dwight Powell","DAL",79,1672,186,95,14,27,7,2,10,9,15,15,0,0,217
"Jarell Martin","MEM",73,1661,211,113,15,13,6,8,3,5,0,0,0,1,96
"Tyler Ulis","PHX",71,1658,120,43,3,0,1,0,13,3,7,8,0,1,101
"Mario Hezonja","ORL",75,1657,134,78,3,5,2,4,4,3,2,1,0,0,91
"Michael Beasley","NYK",74,1653,145,85,2,4,8,7,4,0,0,3,0,2,132
"Jamal Crawford","MIN",80,1653,85,40,1,1,5,3,11,1,1,1,1,0,117
"Kevin Love","CLE",59,1651,120,61,7,26,9,3,8,9,11,2,0,2,232
"Jerami Grant","OKC",81,1647,155,87,9,10,7,3,16,15,12,5,0,0,218
"David Nwaba","CHI",70,1646,158,81,4,5,2,8,7,0,0,3,0,1,150
"Tomas Satoransky","WAS",73,1643,131,56,3,8,0,3,8,4,6,1,0,1,110
"Bobby Portis","CHI",73,1642,130,58,8,17,15,8,4,1,0,0,0,2,148
"Stephen Curry","GSW",51,1631,114,51,3,4,5,4,5,5,1,5,0,0,207
"Andre Iguodala","GSW",64,1622,99,48,2,6,1,0,5,6,0,1,0,0,98
"Troy Daniels","PHX",79,1622,137,57,4,2,12,0,2,1,3,2,0,1,55
"Rodney Hood","CLE",60,1615,105,50,0,1,5,2,7,3,4,3,0,1,110
"Garrett Temple","SAC",65,1615,135,64,1,2,4,3,14,3,2,2,0,0,87
"Marcus Smart","BOS",54,1614,133,59,3,11,7,7,19,13,1,0,0,0,152
"Tyreke Evans","MEM",52,1607,96,47,3,2,2,8,1,0,1,1,0,3,160
"James Ennis III","DET",72,1604,134,45,6,4,5,3,6,2,4,4,0,1,92
"J.J. Barea","DAL",69,1603,83,24,4,2,2,2,27,8,2,5,0,1,139
"Kyle Korver","CLE",73,1574,130,64,5,7,10,0,5,4,3,0,0,1,70
"Luc Mbah a Moute","HOU",61,1564,100,48,1,4,6,6,2,2,1,3,0,3,70
