Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P▼,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
149,Bones Hyland\hylanbo01,PG,21,DEN,15,0,237,40,104,.385,25,71,.352,15,33,.455,.505,15,16,.938,4,24,28,26,11,3,13,26,120
150,Cody Martin\martico01,SF,26,CHO,24,1,616,74,154,.481,25,51,.490,49,103,.476,.562,29,40,.725,31,72,103,57,31,12,14,41,202
151,Chris Paul\paulch01,PG,36,PHO,24,24,778,125,260,.481,25,73,.342,100,187,.535,.529,75,91,.824,6,89,95,243,48,7,58,48,350
152,Garrett Temple\templga01,SG,35,NOP,24,9,458,45,116,.388,25,69,.362,20,47,.426,.496,19,24,.792,17,51,68,26,23,14,20,43,134
153,P.J. Tucker\tuckepj01,PF,36,MIA,25,25,684,63,128,.492,25,60,.417,38,68,.559,.590,11,13,.846,40,95,135,42,17,7,20,62,162
154,Facundo Campazzo\campafa01,PG,30,DEN,22,0,414,41,101,.406,24,63,.381,17,38,.447,.525,17,21,.810,8,30,38,55,20,5,25,41,123
155,Aaron Gordon\gordoaa01,PF,26,DEN,23,23,737,123,239,.515,24,68,.353,99,171,.579,.565,48,66,.727,43,94,137,51,14,17,37,49,318
156,Jeremiah Robinson-Earl\robinje02,C,21,OKC,23,16,504,61,146,.418,24,71,.338,37,75,.493,.500,11,17,.647,40,94,134,20,13,7,20,33,157
157,Avery Bradley\bradlav01,SG,31,LAL,22,17,492,42,111,.378,23,65,.354,19,46,.413,.482,2,2,1.000,11,45,56,18,13,4,13,31,109
158,Jalen Brunson\brunsja01,PG,25,DAL,22,6,636,127,259,.490,23,68,.338,104,191,.545,.535,42,53,.792,12,71,83,107,17,1,32,41,319
159,Alex Caruso\carusal01,SG,27,CHI,23,6,658,65,147,.442,23,69,.333,42,78,.538,.520,42,49,.857,22,64,86,94,51,9,34,61,195
160,Terence Davis\daviste02,SG,24,SAC,16,5,259,50,127,.394,23,77,.299,27,50,.540,.484,11,15,.733,3,36,39,12,12,5,18,33,134
161,Maxi Kleber\klebima01,PF,30,DAL,14,3,318,36,83,.434,23,61,.377,13,22,.591,.572,12,18,.667,17,57,74,11,7,12,7,32,107
162,Jeremy Lamb\lambje01,SF,29,IND,19,0,264,43,109,.394,23,58,.397,20,51,.392,.500,30,30,1.000,7,42,49,21,9,7,11,20,139
163,Terance Mann\mannte01,SF,25,LAC,24,0,654,84,187,.449,23,68,.338,61,119,.513,.511,36,46,.783,35,87,122,56,15,2,26,56,227
164,Moritz Wagner\wagnemo01,C,24,ORL,23,0,266,44,101,.436,23,65,.354,21,36,.583,.550,26,35,.743,10,46,56,17,3,5,18,45,137
165,Darius Bazley\bazleda01,PF,21,OKC,23,23,630,73,206,.354,22,81,.272,51,125,.408,.408,26,42,.619,22,128,150,31,18,27,34,19,194
166,Nemanja Bjelica\bjeline01,C,33,GSW,24,0,340,57,121,.471,22,57,.386,35,64,.547,.562,20,28,.714,21,72,93,36,18,8,29,31,156
167,Rudy Gay\gayru01,PF,35,UTA,9,0,169,33,67,.493,22,46,.478,11,21,.524,.657,9,12,.750,8,38,46,12,2,2,8,14,97
168,George Hill\hillge01,SG,35,MIL,22,11,600,61,138,.442,22,67,.328,39,71,.549,.522,26,28,.929,20,60,80,55,18,3,23,40,170
169,Tyus Jones\jonesty01,PG,25,MEM,24,5,443,63,134,.470,22,51,.431,41,83,.494,.552,19,21,.905,4,54,58,95,19,2,17,11,167
170,Damion Lee\leeda03,SG,29,GSW,18,0,377,58,134,.433,21,63,.333,37,71,.521,.511,20,24,.833,7,51,58,20,7,2,11,24,157
171,Caris LeVert\leverca01,SG,27,IND,18,18,497,108,257,.420,21,81,.259,87,176,.494,.461,32,41,.780,7,41,48,52,14,10,25,36,269
172,Cameron Payne\payneca01,PG,27,PHO,19,0,346,65,171,.380,21,66,.318,44,105,.419,.442,33,40,.825,7,47,54,56,11,6,32,33,184
173,DeMar DeRozan\derozde01,PF,32,CHI,24,24,846,227,456,.498,20,60,.333,207,396,.523,.520,159,179,.888,15,112,127,98,22,9,49,55,633
174,Ty Jerome\jeromty01,SG,24,OKC,20,1,276,46,116,.397,20,66,.303,26,50,.520,.483,24,29,.828,6,17,23,23,14,2,10,25,136
175,Nassir Little\littlna01,SF,21,POR,21,2,470,65,136,.478,20,63,.317,45,73,.616,.551,24,29,.828,30,82,112,16,16,13,19,44,174
176,Jalen McDaniels\mcdanja01,SF,24,CHO,22,0,331,42,80,.525,20,44,.455,22,36,.611,.650,16,25,.640,13,59,72,21,8,8,13,37,120
177,Marcus Morris\morrima03,PF,32,LAC,9,9,261,40,96,.417,20,52,.385,20,44,.455,.521,9,12,.750,2,31,33,19,5,4,14,23,109
178,Naz Reid\reidna01,C,22,MIN,22,1,366,76,153,.497,20,54,.370,56,99,.566,.562,31,44,.705,29,51,80,16,12,21,17,55,203
179,Josh Richardson\richajo01,SG,28,BOS,19,0,458,66,142,.465,20,59,.339,46,83,.554,.535,24,30,.800,10,41,51,25,11,9,13,36,176
180,Deni Avdija\avdijde01,SF,21,WAS,25,0,533,56,132,.424,19,62,.306,37,70,.529,.496,21,32,.656,21,99,120,31,14,18,13,53,152
181,Patrick Beverley\beverpa01,PG,33,MIN,16,12,406,49,107,.458,19,56,.339,30,51,.588,.547,12,17,.706,23,47,70,72,14,16,19,50,129
182,Eric Bledsoe\bledser01,PG,32,LAC,25,22,666,84,204,.412,19,72,.264,65,132,.492,.458,41,49,.837,18,81,99,86,32,11,51,40,228
183,Joel Embiid\embiijo01,C,27,PHI,14,14,463,104,237,.439,19,47,.404,85,190,.447,.479,108,140,.771,28,130,158,61,13,22,40,36,335
184,Jeff Green\greenje02,C,35,DEN,23,14,559,78,165,.473,19,58,.328,59,107,.551,.530,51,63,.810,10,62,72,25,7,11,22,45,226
185,Tobias Harris\harrito02,PF,29,PHI,15,15,518,116,247,.470,19,62,.306,97,185,.524,.508,39,48,.813,16,110,126,56,7,9,25,21,290
186,Killian Hayes\hayeski01,PG,20,DET,18,18,467,40,119,.336,19,54,.352,21,65,.323,.416,16,17,.941,12,54,66,67,23,8,31,50,115
187,Trey Lyles\lylestr01,PF,26,DET,23,0,366,58,141,.411,19,65,.292,39,76,.513,.479,39,50,.780,32,64,96,17,7,4,21,31,174
188,Shake Milton\miltosh01,PG,25,PHI,19,5,485,87,188,.463,19,58,.328,68,130,.523,.513,30,34,.882,10,48,58,55,13,8,21,37,223
