"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"Jonas Valanciunas","NOP",7,180,371,109,35,66,0.5303030303030303,4,11,0.36363636363636365,0.36363636363636365,27,36,34,12,0,0.5142857142857142,0.6923076923076923,1,0.14285714285714285,0.5508688311688311,0.5324675324675324,0.6055555555555555,18,2,0.030303030303030304,0,0,22.90249433106576
"De'Anthony Melton","PHI",8,180,359,76,20,33,0.6060606060606061,11,27,0.4074074074074074,0.4074074074074074,3,22,18,30,3,0.55,0.5789473684210527,0.9090909090909091,0.45,0.532485,0.6083333333333333,0.6229508196721312,2,2,0.06060606060606061,0,0,16.410256410256412
"Christian Wood","DAL",7,179,348,121,32,50,0.64,11,23,0.4782608695652174,0.5,24,30,34,30,3,0.46875,0.5357142857142857,0.9090909090909091,0.3150684931506849,0.5814020833333333,0.6643835616438356,0.6722222222222223,8,6,0.12,0,0,28.010471204188484
"Precious Achiuwa","TOR",8,178,353,71,20,42,0.47619047619047616,4,21,0.19047619047619047,0.19047619047619047,19,26,14,12,0,0.65,0.7222222222222222,1,0.3333333333333333,0.5171301587301588,0.4126984126984127,0.4863013698630137,4,5,0.11904761904761904,0,0,20.048899755501225
"Aleksej Pokusevski","OKC",8,176,373,60,17,37,0.4594594594594595,7,26,0.2692307692307692,0.2692307692307692,5,18,16,21,0,0.5294117647058824,0.75,1,0.4126984126984127,0.5441888888888889,0.4365079365079365,0.4411764705882353,10,2,0.05405405405405406,0,0,18.414918414918414
"Isaiah Hartenstein","NYK",7,175,355,58,23,37,0.6216216216216216,2,10,0.2,0.2,6,32,14,6,0,0.6956521739130435,0.9411764705882353,1,0.2127659574468085,0.5383925531914894,0.5531914893617021,0.58,12,0,0,0,0,14.009661835748794
"Russell Westbrook","LAL",6,175,385,80,24,53,0.4528301886792453,5,24,0.20833333333333334,0.20833333333333334,17,12,36,9,6,0.25,0.25,0.6,0.3116883116883117,0.5699142857142857,0.4090909090909091,0.45454545454545453,0,8,0.1509433962264151,0,0,24.711316397228636
"Marcus Morris Sr.","LAC",6,175,355,89,26,41,0.6341463414634146,11,29,0.3793103448275862,0.3793103448275862,4,10,42,30,3,0.19230769230769232,0.2,0.9090909090909091,0.4142857142857143,0.4918621428571428,0.6071428571428571,0.6267605633802817,2,0,0,0,0,19.191919191919194
"Damian Lillard","POR",5,175,358,155,28,46,0.6086956521739131,20,51,0.39215686274509803,0.39215686274509803,39,14,42,27,33,0.25,0.2692307692307692,0.45,0.5257731958762887,0.5318119791666667,0.5979381443298969,0.6652173913043479,4,4,0.08695652173913043,0,0,33.5
"Dean Wade","CLE",7,174,347,69,8,12,0.6666666666666666,15,27,0.5555555555555556,0.5555555555555556,8,14,2,45,0,0.875,0.875,1,0.6923076923076923,0.5906256410256411,0.782051282051282,0.8023255813953488,0,0,0,0,0,11.6751269035533
